"","id","block","refClass","appliance","pct_goal","rounded","state","family","state_avg","plan","value","change","state_dif"
"149",74827,1,"kWh","WATER","10%","Not Rounded","Massachusetts",10543,5070,"plan1",7000,-3543,1930
"150",74827,1,"kWh","WATER","10%","Not Rounded","Massachusetts",10543,5070,"plan2",6000,-4543,930
"151",74827,1,"kWh","REFRIG","10%","Not Rounded","Massachusetts",1230,1025,"plan1",1000,-230,-25
"152",74827,1,"kWh","REFRIG","10%","Not Rounded","Massachusetts",1230,1025,"plan2",1000,-230,-25
"153",74827,1,"kWh","OTHER","10%","Not Rounded","Massachusetts",7350,6682,"plan1",700,-6650,-5982
"154",74827,1,"kWh","OTHER","10%","Not Rounded","Massachusetts",7350,6682,"plan2",6000,-1350,-682
"155",74827,1,"kWh","TOTAL","10%","Not Rounded","Massachusetts",46293,32207,"plan1",40000,-6293,7793
"156",74827,1,"kWh","TOTAL","10%","Not Rounded","Massachusetts",46293,32207,"plan2",40000,-6293,7793
"157",74827,2,"kWh","AC","15%","Rounded","Texas",7000,4249,"plan1",6000,-1000,1751
"158",74827,2,"kWh","AC","15%","Rounded","Texas",7000,4249,"plan2",5000,-2000,751
"159",74827,2,"kWh","HEAT","15%","Rounded","Texas",6000,5099,"plan1",5000,-1000,-99
"160",74827,2,"kWh","HEAT","15%","Rounded","Texas",6000,5099,"plan2",6000,0,901
"161",74827,2,"kWh","WATER","15%","Rounded","Texas",5000,4396,"plan1",5000,0,604
"162",74827,2,"kWh","WATER","15%","Rounded","Texas",5000,4396,"plan2",4000,-1000,-396
"163",74827,2,"kWh","REFRIG","15%","Rounded","Texas",3000,1318,"plan1",2500,-500,1182
"164",74827,2,"kWh","REFRIG","15%","Rounded","Texas",3000,1318,"plan2",2500,-500,1182
"165",74827,2,"kWh","OTHER","15%","Rounded","Texas",8000,7883,"plan1",6150,-1850,-1733
"166",74827,2,"kWh","OTHER","15%","Rounded","Texas",8000,7883,"plan2",8150,150,267
"167",74827,2,"kWh","TOTAL","15%","Rounded","Texas",29000,22945,"plan1",24650,-4350,1705
"168",74827,2,"kWh","TOTAL","15%","Rounded","Texas",29000,22945,"plan2",24650,-4350,1705
"169",74940,1,"kWh","AC","10%","Not Rounded","California",2581,1289,"plan1",1200,-1381,-89
"170",74940,1,"kWh","AC","10%","Not Rounded","California",2581,1289,"plan2",2000,-581,711
"171",74940,1,"kWh","HEAT","10%","Not Rounded","California",6157,5597,"plan1",5000,-1157,-597
"172",74940,1,"kWh","HEAT","10%","Not Rounded","California",6157,5597,"plan2",6000,-157,403
"173",74940,1,"kWh","WATER","10%","Not Rounded","California",5061,4601,"plan1",4000,-1061,-601
"174",74940,1,"kWh","WATER","10%","Not Rounded","California",5061,4601,"plan2",3000,-2061,-1601
"175",74940,1,"kWh","REFRIG","10%","Not Rounded","California",1266,1055,"plan1",1000,-266,-55
"176",74940,1,"kWh","REFRIG","10%","Not Rounded","California",1266,1055,"plan2",1000,-266,-55
"177",74940,1,"kWh","OTHER","10%","Not Rounded","California",7608,6916,"plan1",7000,-608,84
"178",74940,1,"kWh","OTHER","10%","Not Rounded","California",7608,6916,"plan2",8000,392,1084
"179",74940,1,"kWh","TOTAL","10%","Not Rounded","California",22673,19458,"plan1",18200,-4473,-1258
"180",74940,1,"kWh","TOTAL","10%","Not Rounded","California",22673,19458,"plan2",20000,-2673,542
"181",74940,2,"kWh","AC","15%","Rounded","Massachusetts",0,322,"plan1",1000,1000,678
"182",74940,2,"kWh","AC","15%","Rounded","Massachusetts",0,322,"plan2",1000,1000,678
"183",74940,2,"kWh","HEAT","15%","Rounded","Massachusetts",27000,19108,"plan1",24000,-3000,4892
"184",74940,2,"kWh","HEAT","15%","Rounded","Massachusetts",27000,19108,"plan2",20000,-7000,892
"185",74940,2,"kWh","WATER","15%","Rounded","Massachusetts",11000,5070,"plan1",6000,-5000,930
"186",74940,2,"kWh","WATER","15%","Rounded","Massachusetts",11000,5070,"plan2",7000,-4000,1930
"187",74940,2,"kWh","REFRIG","15%","Rounded","Massachusetts",1000,1025,"plan1",1000,0,-25
"188",74940,2,"kWh","REFRIG","15%","Rounded","Massachusetts",1000,1025,"plan2",1000,0,-25
"189",74940,2,"kWh","OTHER","15%","Rounded","Massachusetts",7000,6682,"plan1",7000,0,318
"190",74940,2,"kWh","OTHER","15%","Rounded","Massachusetts",7000,6682,"plan2",7000,0,318
"191",74940,2,"kWh","TOTAL","15%","Rounded","Massachusetts",46000,32207,"plan1",39000,-7000,6793
"192",74940,2,"kWh","TOTAL","15%","Rounded","Massachusetts",46000,32207,"plan2",36000,-10000,3793
"193",75022,1,"kWh","AC","15%","Rounded","Colorado",1000,498,"plan1",500,-500,2
"194",75022,1,"kWh","AC","15%","Rounded","Colorado",1000,498,"plan2",450,-550,-48
"195",75022,1,"kWh","HEAT","15%","Rounded","Colorado",18000,16411,"plan1",17000,-1000,589
"196",75022,1,"kWh","HEAT","15%","Rounded","Colorado",18000,16411,"plan2",16500,-1500,89
"197",75022,1,"kWh","WATER","15%","Rounded","Colorado",12000,5832,"plan1",6000,-6000,168
"198",75022,1,"kWh","WATER","15%","Rounded","Colorado",12000,5832,"plan2",6000,-6000,168
"199",75022,1,"kWh","REFRIG","15%","Rounded","Colorado",1000,1142,"plan1",1000,0,-142
"200",75022,1,"kWh","REFRIG","15%","Rounded","Colorado",1000,1142,"plan2",1000,0,-142
"201",75022,1,"kWh","OTHER","15%","Rounded","Colorado",8000,6652,"plan1",5500,-2500,-1152
"202",75022,1,"kWh","OTHER","15%","Rounded","Colorado",8000,6652,"plan2",6050,-1950,-602
"203",75022,1,"kWh","TOTAL","15%","Rounded","Colorado",40000,30535,"plan1",30000,-10000,-535
"204",75022,1,"kWh","TOTAL","15%","Rounded","Colorado",40000,30535,"plan2",30000,-10000,-535
"205",75022,2,"kWh","AC","10%","Not Rounded","California",2581,1289,"plan1",2000,-581,711
"206",75022,2,"kWh","AC","10%","Not Rounded","California",2581,1289,"plan2",1500,-1081,211
"207",75022,2,"kWh","HEAT","10%","Not Rounded","California",6157,5597,"plan1",4000,-2157,-1597
"208",75022,2,"kWh","HEAT","10%","Not Rounded","California",6157,5597,"plan2",4500,-1657,-1097
"209",75022,2,"kWh","WATER","10%","Not Rounded","California",5061,4601,"plan1",5000,-61,399
"210",75022,2,"kWh","WATER","10%","Not Rounded","California",5061,4601,"plan2",5000,-61,399
"211",75022,2,"kWh","REFRIG","10%","Not Rounded","California",1266,1055,"plan1",1200,-66,145
"212",75022,2,"kWh","REFRIG","10%","Not Rounded","California",1266,1055,"plan2",1200,-66,145
"213",75022,2,"kWh","OTHER","10%","Not Rounded","California",7608,6916,"plan1",7000,-608,84
"214",75022,2,"kWh","OTHER","10%","Not Rounded","California",7608,6916,"plan2",7000,-608,84
"215",75022,2,"kWh","TOTAL","10%","Not Rounded","California",22673,19458,"plan1",19200,-3473,-258
"216",75022,2,"kWh","TOTAL","10%","Not Rounded","California",22673,19458,"plan2",19200,-3473,-258
"217",75029,1,"USD","AC","10%","Not Rounded","Colorado",697,498,"plan1",300,-397,-198
"218",75029,1,"USD","AC","10%","Not Rounded","Colorado",697,498,"plan2",400,-297,-98
"219",75029,1,"USD","HEAT","10%","Not Rounded","Colorado",18052,16411,"plan1",15000,-3052,-1411
"220",75029,1,"USD","HEAT","10%","Not Rounded","Colorado",18052,16411,"plan2",14000,-4052,-2411
"221",75029,1,"USD","WATER","10%","Not Rounded","Colorado",11667,5832,"plan1",5000,-6667,-832
