"id","block","refClass","appliance","pct_goal","rounded","state","calc","edu","els","pct","family","state_avg","plan","value"
"s2_107",2,"USD","OTHER","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,7350,6682,"plan1",7350
"s2_107",2,"USD","OTHER","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,7350,6682,"plan2",6682
"s2_107",2,"USD","TOTAL","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,46293,32207,"plan1",46293
"s2_107",2,"USD","TOTAL","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,46293,32207,"plan2",32207
"s2_108",1,"USD","AC","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,7000,4249,"plan1",4100
"s2_108",1,"USD","AC","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,7000,4249,"plan2",6500
"s2_108",1,"USD","HEAT","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,6000,5099,"plan1",5115
"s2_108",1,"USD","HEAT","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,6000,5099,"plan2",4000
"s2_108",1,"USD","WATER","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,5000,4396,"plan1",4400
"s2_108",1,"USD","WATER","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,5000,4396,"plan2",4300
"s2_108",1,"USD","REFRIG","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,3000,1318,"plan1",1350
"s2_108",1,"USD","REFRIG","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,3000,1318,"plan2",1100
"s2_108",1,"USD","OTHER","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,8000,7883,"plan1",8000
"s2_108",1,"USD","OTHER","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,8000,7883,"plan2",7000
"s2_108",1,"USD","TOTAL","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,29000,22945,"plan1",22965
"s2_108",1,"USD","TOTAL","15%","Rounded","Texas","No Calculator","College degree",0.625,0.15,29000,22945,"plan2",22900
"s2_108",2,"USD","AC","10%","Not Rounded","Massachusetts","No Calculator","College degree",0.625,0.1,419,322,"plan1",300
"s2_108",2,"USD","AC","10%","Not Rounded","Massachusetts","No Calculator","College degree",0.625,0.1,419,322,"plan2",200
"s2_108",2,"USD","HEAT","10%","Not Rounded","Massachusetts","No Calculator","College degree",0.625,0.1,26751,19108,"plan1",19000
